feature,status,importance,ranking
MaxAbsEStateIndex,rejected,,30
MaxEStateIndex,rejected,,35
MinAbsEStateIndex,rejected,,11
MinEStateIndex,rejected,,2
qed,confirmed,,1
SPS,rejected,,2
MolWt,confirmed,,1
HeavyAtomMolWt,confirmed,,1
ExactMolWt,rejected,,15
NumValenceElectrons,rejected,,53
MaxPartialCharge,confirmed,,1
MinPartialCharge,rejected,,2
MaxAbsPartialCharge,rejected,,13
MinAbsPartialCharge,confirmed,,1
FpDensityMorgan1,rejected,,23
FpDensityMorgan2,rejected,,56
FpDensityMorgan3,rejected,,64
BCUT2D_MWHI,confirmed,,1
BCUT2D_MWLOW,rejected,,14
BCUT2D_CHGHI,rejected,,46
BCUT2D_CHGLO,confirmed,,1
BCUT2D_LOGPHI,rejected,,4
BCUT2D_LOGPLOW,rejected,,11
BCUT2D_MRHI,rejected,,2
BCUT2D_MRLOW,rejected,,8
AvgIpc,rejected,,16
BalabanJ,confirmed,,1
BertzCT,rejected,,37
Chi0,rejected,,44
Chi0n,rejected,,27
Chi0v,confirmed,,1
Chi1,rejected,,39
Chi1n,rejected,,32
Chi1v,confirmed,,1
Chi2n,rejected,,18
Chi2v,rejected,,5
Chi3n,rejected,,34
Chi3v,rejected,,28
Chi4n,rejected,,36
Chi4v,rejected,,30
HallKierAlpha,rejected,,18
Ipc,rejected,,59
Kappa1,confirmed,,1
Kappa2,confirmed,,1
Kappa3,confirmed,,1
LabuteASA,confirmed,,1
PEOE_VSA1,rejected,,70
PEOE_VSA10,rejected,,81
PEOE_VSA11,rejected,,85
PEOE_VSA12,rejected,,105
PEOE_VSA13,rejected,,119
PEOE_VSA14,rejected,,72
PEOE_VSA2,rejected,,69
PEOE_VSA3,rejected,,83
PEOE_VSA4,rejected,,100
PEOE_VSA5,rejected,,97
PEOE_VSA6,rejected,,59
PEOE_VSA7,rejected,,41
PEOE_VSA8,rejected,,54
PEOE_VSA9,rejected,,47
SMR_VSA1,rejected,,38
SMR_VSA10,confirmed,,1
SMR_VSA2,rejected,,178
SMR_VSA3,confirmed,,1
SMR_VSA4,rejected,,90
SMR_VSA5,rejected,,22
SMR_VSA6,rejected,,20
SMR_VSA7,rejected,,41
SMR_VSA9,rejected,,57
SlogP_VSA1,rejected,,71
SlogP_VSA10,rejected,,11
SlogP_VSA11,rejected,,61
SlogP_VSA12,rejected,,82
SlogP_VSA2,rejected,,30
SlogP_VSA3,rejected,,76
SlogP_VSA4,rejected,,89
SlogP_VSA5,confirmed,,1
SlogP_VSA6,rejected,,62
SlogP_VSA7,rejected,,168
SlogP_VSA8,rejected,,94
TPSA,rejected,,26
EState_VSA1,rejected,,77
EState_VSA10,rejected,,87
EState_VSA11,rejected,,348
EState_VSA2,rejected,,26
EState_VSA3,rejected,,55
EState_VSA4,rejected,,78
EState_VSA5,rejected,,63
EState_VSA6,rejected,,88
EState_VSA7,rejected,,66
EState_VSA8,confirmed,,1
EState_VSA9,rejected,,85
VSA_EState1,rejected,,53
VSA_EState10,rejected,,87
VSA_EState2,rejected,,59
VSA_EState3,rejected,,9
VSA_EState4,rejected,,66
VSA_EState5,rejected,,51
VSA_EState6,rejected,,8
VSA_EState7,rejected,,41
VSA_EState8,confirmed,,1
VSA_EState9,rejected,,80
FractionCSP3,rejected,,43
HeavyAtomCount,rejected,,51
NHOHCount,rejected,,103
NOCount,rejected,,79
NumAliphaticCarbocycles,rejected,,143
NumAliphaticHeterocycles,rejected,,126
NumAliphaticRings,rejected,,124
NumAmideBonds,rejected,,105
NumAromaticCarbocycles,rejected,,119
NumAromaticHeterocycles,rejected,,144
NumAromaticRings,rejected,,111
NumAtomStereoCenters,rejected,,94
NumBridgeheadAtoms,rejected,,182
NumHAcceptors,rejected,,91
NumHDonors,rejected,,107
NumHeteroatoms,rejected,,45
NumHeterocycles,rejected,,115
NumRotatableBonds,rejected,,68
NumSaturatedCarbocycles,rejected,,156
NumSaturatedHeterocycles,rejected,,135
NumSaturatedRings,rejected,,128
NumSpiroAtoms,rejected,,319
NumUnspecifiedAtomStereoCenters,rejected,,132
Phi,confirmed,,1
RingCount,rejected,,103
MolLogP,rejected,,33
MolMR,rejected,,24
fr_Al_COO,rejected,,156
fr_Al_OH,rejected,,127
fr_Al_OH_noTert,rejected,,134
fr_ArN,rejected,,161
fr_Ar_COO,rejected,,203
fr_Ar_N,rejected,,122
fr_Ar_NH,rejected,,195
fr_Ar_OH,rejected,,74
fr_COO,rejected,,137
fr_COO2,rejected,,134
fr_C_O,rejected,,120
fr_C_O_noCOO,rejected,,121
fr_Imine,rejected,,197
fr_NH0,rejected,,6
fr_NH1,rejected,,67
fr_NH2,rejected,,137
fr_Ndealkylation1,rejected,,117
fr_Ndealkylation2,rejected,,166
fr_Nhpyrrole,rejected,,173
fr_alkyl_halide,rejected,,138
fr_allylic_oxid,rejected,,115
fr_amide,rejected,,99
fr_aniline,rejected,,101
fr_aryl_methyl,rejected,,140
fr_benzene,rejected,,115
fr_bicyclic,rejected,,92
fr_ester,rejected,,153
fr_ether,rejected,,108
fr_halogen,rejected,,48
fr_imidazole,rejected,,222
fr_imide,rejected,,315
fr_ketone,rejected,,152
fr_ketone_Topliss,rejected,,163
fr_lactam,rejected,,233
fr_lactone,rejected,,169
fr_methoxy,rejected,,140
fr_morpholine,rejected,,290
fr_nitrile,rejected,,273
fr_para_hydroxylation,rejected,,131
fr_phenol,rejected,,73
