compound_name,chembl_id,found
Acivicin,CHEMBL1231101,True
Diamide,CHEMBL1255835,True
Phosphatidylethanolamine,CHEMBL448115,True
Trimethadione,CHEMBL695,True
Resveratrol,CHEMBL165,True
Coenzyme Q10,,False
Vitamin E,CHEMBL3989727,True
EUK-8,,False
EUK-134,,False
Alpha-lipoic acid,,False
Epigallocatechin-3-gallate,,False
Tamarixetin,CHEMBL226034,True
Tocotrienol,CHEMBL120643,True
Ampicillin,CHEMBL174,True
"3,3-diethyl-2-pyrrolidinone",,False
Ethosuximide,CHEMBL696,True
Myxothiazol,CHEMBL454568,True
FCCP,,False
Hydrogen Sulphide,,False
Mianserin,CHEMBL6437,True
Quercetin,CHEMBL50,True
Lithium Chloride,,False
2-deoxy-D-glucose,CHEMBL1880349,True
Pregnenolone,CHEMBL253363,True
Gamma-tocopherol,CHEMBL2151591,True
Trolox,CHEMBL153,True
Taxifolin,CHEMBL337309,True
Propyl gallate,CHEMBL7983,True
Reserpine,CHEMBL772,True
Valproic acid,CHEMBL109,True
Metformin,CHEMBL1431,True
Glucose,,False
Sorbitol,CHEMBL1682,True
Acetic Acid,CHEMBL539,True
Spermidine,CHEMBL19612,True
Oxaloacetate,CHEMBL1794791,True
Juglone,CHEMBL43612,True
Catechin,CHEMBL206452,True
Carbonylcyanide-3-chlorophenylhydrazone,,False
Nicotinamide adenine dinucleotide,,False
Gliotoxin,CHEMBL331627,True
Glaucarubinone,CHEMBL458347,True
Dichloroacetate,,False
Paraquat,CHEMBL74469,True
Sodium pyruvate,,False
Dapsone,CHEMBL1043,True
Dimethyl sulfoxide,CHEMBL504,True
Procyanidins,,False
Epicatechin,,False
Trehalose,CHEMBL1236395,True
Maltose,CHEMBL1908365,True
Tannic acid,CHEMBL506247,True
Plumbagin,CHEMBL295316,True
Ferulsinaic acid,,False
Q3M,,False
Caffeic acid,CHEMBL145,True
Rosmarinic acid,CHEMBL324842,True
Thioflavin T,CHEMBL224392,True
Celecoxib,CHEMBL118,True
Diallyl trisulfide,,False
Oxoline,,False
Naphthazarin,,False
Isorhamnetin,CHEMBL379064,True
Curcumin,CHEMBL140,True
Gallic Acid,CHEMBL288114,True
Ellagic acid,CHEMBL6246,True
Proline,CHEMBL54922,True
Ferric ammonium citrate,CHEMBL4301175,True
L-theanine,,False
Icariin,CHEMBL553204,True
Myricetin,CHEMBL164,True
Kaempferol,CHEMBL150,True
Acetaminophen,CHEMBL112,True
Baicalein,CHEMBL8260,True
Bacitracin,CHEMBL1200558,True
Ciclopirox olamine,CHEMBL242580,True
Dafadine-A,,False
Astaxanthin,CHEMBL1255871,True
Lonidamine,CHEMBL1257030,True
Rapamycin,,False
"1,2,4-triazolo[1,5-a]pyridine",,False
Ascr#2,,False
Aspirin,CHEMBL25,True
Malate,,False
Fumarate,,False
MAHMA-NONOate,,False
DETA NONOate,,False
Dimethyl formamide,,False
Quinic acid,CHEMBL465398,True
Salicylic acid,CHEMBL424,True
Tyrosol,CHEMBL53566,True
Doxycycline,CHEMBL1200699,True
Ethidium bromide,,False
Clofibrate,CHEMBL565,True
Bezafibrate,CHEMBL264374,True
Fenofibrate,CHEMBL672,True
Pictilisib,CHEMBL521851,True
Phenformin,CHEMBL170988,True
Arsenite,,False
Huperzine A,CHEMBL395280,True
Ascr#3,,False
Trequinsin hydrochloride,CHEMBL1256910,True
Tyrphostin AG 1478,,False
Vinpocetine,CHEMBL71752,True
Vincristine sulfate,CHEMBL501867,True
GYY4137,,False
1-methyl nicotinamide,,False
Nicotinamide,,False
Sulfamethoxazole,CHEMBL443,True
Protocatechuic acid,CHEMBL37537,True
Chloramphenicol,CHEMBL130,True
Methylergonovine maleate,CHEMBL1200843,True
Minocycline hydrochloride,CHEMBL1200881,True
N-(2-[4-(4-chlorophenyl)piperazin-1-yl]ethyl)-3-methoxybenzamide,,False
Naftopidil dihydrochloride,CHEMBL1257069,True
Nortriptyline hydrochloride,CHEMBL1201156,True
Octoclothepin maleate,,False
Oxatomide,CHEMBL13828,True
Nicardipine hydrochloride,CHEMBL1200326,True
Promethazine hydrochloride,CHEMBL1200750,True
Pergolide methanesulfonate,,False
Nitrendipine,CHEMBL475534,True
Quinidine sulfate,CHEMBL3707183,True
Propionylpromazine hydrochloride,CHEMBL1256661,True
SU 4312,,False
Thioridazine hydrochloride,CHEMBL1200916,True
Psora-4,,False
Dihydroergocristine methanesulfonate,,False
Doxazosin mesylate,CHEMBL1200561,True
Doxycycline hydrochloride,CHEMBL1256723,True
Eliprodil,CHEMBL28564,True
Guanfacine hydrochloride,CHEMBL1200494,True
Guanabenz acetate,CHEMBL1200560,True
Hexahydro-sila-diphenidol,,False
Kenpaullone,CHEMBL296586,True
Ketanserin tartrate,CHEMBL1256709,True
LFM-A13,,False
Loratadine,CHEMBL998,True
Loxapine succinate,CHEMBL1201155,True
"LY-165,163",,False
"LY-367,265",,False
Metergoline,CHEMBL19215,True
Amperozide hydrochloride,CHEMBL1257106,True
Amoxapine,CHEMBL1113,True
BRL 15572,,False
Beta-estradiol,,False
BRL 50481,,False
Chlorprothixene hydrochloride,CHEMBL1256658,True
Cis-(Z)-Flupenthixol dihydrochloride,,False
Cinnarizine,CHEMBL43064,True
Cortexolone maleate,,False
BTCP hydrochloride,,False
Cyclosporin A,,False
Danazol,CHEMBL1479,True
Cyproterone acetate,CHEMBL139835,True
