compound_name,chembl_id,target_id,action_type
Acivicin,CHEMBL1231101,,
Diamide,CHEMBL1255835,,
Phosphatidylethanolamine,CHEMBL448115,,
Trimethadione,CHEMBL695,CHEMBL2362995,BLOCKER
Resveratrol,CHEMBL165,,
Vitamin E,CHEMBL3989727,,
Tamarixetin,CHEMBL226034,,
Tocotrienol,CHEMBL120643,,
Ampicillin,CHEMBL174,CHEMBL2354204,INHIBITOR
Ethosuximide,CHEMBL696,CHEMBL2362995,BLOCKER
Myxothiazol,CHEMBL454568,,
Mianserin,CHEMBL6437,,
Quercetin,CHEMBL50,,
2-deoxy-D-glucose,CHEMBL1880349,,
Pregnenolone,CHEMBL253363,,
Gamma-tocopherol,CHEMBL2151591,,
Trolox,CHEMBL153,,
Taxifolin,CHEMBL337309,,
Propyl gallate,CHEMBL7983,,
Reserpine,CHEMBL772,CHEMBL1893,INHIBITOR
Valproic acid,CHEMBL109,CHEMBL1911,INHIBITOR
Metformin,CHEMBL1431,,
Sorbitol,CHEMBL1682,,
Acetic Acid,CHEMBL539,,
Spermidine,CHEMBL19612,,
Oxaloacetate,CHEMBL1794791,,
Juglone,CHEMBL43612,,
Catechin,CHEMBL206452,,
Gliotoxin,CHEMBL331627,,
Glaucarubinone,CHEMBL458347,,
Paraquat,CHEMBL74469,,
Dapsone,CHEMBL1043,CHEMBL2362993,INHIBITOR
Trehalose,CHEMBL1236395,,
Maltose,CHEMBL1908365,,
Tannic acid,CHEMBL506247,,
Plumbagin,CHEMBL295316,,
Caffeic acid,CHEMBL145,,
Rosmarinic acid,CHEMBL324842,,
Thioflavin T,CHEMBL224392,,
Celecoxib,CHEMBL118,CHEMBL230,INHIBITOR
Isorhamnetin,CHEMBL379064,,
Curcumin,CHEMBL140,,
Gallic Acid,CHEMBL288114,,
Ellagic acid,CHEMBL6246,,
Proline,CHEMBL54922,,
Ferric ammonium citrate,CHEMBL4301175,,
Icariin,CHEMBL553204,,
Myricetin,CHEMBL164,,
Kaempferol,CHEMBL150,,
Acetaminophen,CHEMBL112,CHEMBL2094253,INHIBITOR
Acetaminophen,CHEMBL112,CHEMBL2243,INHIBITOR
Acetaminophen,CHEMBL112,CHEMBL4794,OPENER
