compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,itp,pubmed_id
2-Selenium-bridged-beta-cyclodextrin,Caenorhabditis elegans,N2,5 mM,,,8.69,S,4.76,,Unknown,,,No,101039
2-Selenium-bridged-beta-cyclodextrin,Caenorhabditis elegans,N2,0.5 mM,,,7.24,S,4.76,,Unknown,,,No,101039
Floxuridine,Caenorhabditis elegans,N2,50000 Î¼M,,,-18.66,S,,,Hermaphrodite,,,No,153363
Floxuridine,Caenorhabditis elegans,N2,6000 Î¼M,,,-2.66,NS,,,Hermaphrodite,,,No,153363
Floxuridine,Caenorhabditis elegans,N2,400 Î¼M,,,6.66,S,,,Hermaphrodite,,,No,153363
Floxuridine,Caenorhabditis elegans,N2,400 Î¼M,,,38.86,S,,,Hermaphrodite,,,No,153363
Vitamin E,Caenorhabditis elegans,N2,200 Âµg/ml,,,23.0,S,,,Unknown,,,No,3374177
Vitamin E,Caenorhabditis elegans,N2,200 Âµg/ml,,,17.0,S,,,Unknown,,,No,3374177
Vitamin E,Caenorhabditis elegans,N2,200 Âµg/ml,,,22.0,S,,,Unknown,,,No,3374177
Vitamin E,Caenorhabditis elegans,N2,100 Âµg/ml,,,9.0,NS,,,Unknown,,,No,3374177
Vitamin E,Caenorhabditis elegans,N2,400 Âµg/ml,,,4.0,NS,,,Unknown,,,No,3374177
Ascorbic acid,Caenorhabditis elegans,N2,80 Âµg/ml,,,0.0,NS,,,Unknown,,,No,3374177
LY-294002,Caenorhabditis elegans,N2,0.016 mM,,,25.0,S,,,Unknown,,,No,10638524
LY-294002,Caenorhabditis elegans,N2,0.0016 mM,,,9.09,S,,,Unknown,,,No,10638524
Vitamin E,Caenorhabditis elegans,N2,80 ug/ml,,,2.9,S,,,Unknown,,,No,10843344
Tocotrienol,Caenorhabditis elegans,N2,80 Âµg/ml,,,19.8,S,,,Unknown,,,No,10843344
Tocotrienol,Caenorhabditis elegans,N2,8 Âµg/ml,,,8.7,S,,,Unknown,,,No,10843344
EUK-8,Caenorhabditis elegans,N2,5 mM,,,33.0,S,,,Unknown,,,No,10968795
EUK-8,Caenorhabditis elegans,N2,0.5 mM,,,38.0,S,,,Unknown,,,No,10968795
EUK-8,Caenorhabditis elegans,N2,5 mM,,,29.0,S,,,Unknown,,,No,10968795
EUK-8,Caenorhabditis elegans,N2,0.05 mM,,,33.0,S,,,Unknown,,,No,10968795
EUK-8,Caenorhabditis elegans,N2,10 mM,,,29.0,S,,,Unknown,,,No,10968795
EUK-134,Caenorhabditis elegans,N2,0.5 mM,,,54.0,S,,,Unknown,,,No,10968795
EUK-134,Caenorhabditis elegans,N2,10 mM,,,52.0,S,,,Unknown,,,No,10968795
EUK-134,Caenorhabditis elegans,N2,0.05 mM,,,38.0,S,,,Unknown,,,No,10968795
EUK-134,Caenorhabditis elegans,N2,5 mM,,,42.0,S,,,Unknown,,,No,10968795
EUK-134,Caenorhabditis elegans,N2,5 mM,,,52.0,S,,,Unknown,,,No,10968795
EUK-134,Caenorhabditis elegans,N2,0.5 mM,,,38.0,S,,,Unknown,,,No,10968795
EUK-134,Caenorhabditis elegans,N2,0.05 mM,,,29.0,S,,,Unknown,,,No,10968795
EUK-8,Caenorhabditis elegans,N2,0.05 mM,,,-12.9,S,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,,,-33.1,S,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,,,3.0,NS,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,,,-0.9,NS,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,,,-5.7,NS,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,0.05 mM,,,-6.1,S,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,,,-10.7,S,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,,,-21.1,S,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,,,-26.6,S,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,0.5 mM,,,-26.5,S,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,5 mM,,,-81.0,S,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,5 mM,,,-83.7,S,,,Unknown,,,No,12521609
EUK-8,Caenorhabditis elegans,N2,5 mM,,,-83.9,S,,,Unknown,,,No,12521609
Coenzyme Q10,Caenorhabditis elegans,N2,150 Âµg/ml,,,9.0,S,,,Unknown,,,No,14706236
Coenzyme Q10,Caenorhabditis elegans,N2,150 Âµg/ml,,,18.0,S,,,Unknown,,,No,14706236
Vitamin E,Caenorhabditis elegans,N2,400 Âµg/ml,,,11.0,S,,,Unknown,,,No,14706236
Coenzyme Q10,Caenorhabditis elegans,N2,50 Âµg/ml,,,6.0,S,,,Unknown,,,No,14706236
Resveratrol,Caenorhabditis elegans,N2,100 Âµm,,,10.0,S,,,Unknown,,,No,15254550
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,,,47.0,S,57.0,,Unknown,,,No,15653505
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,,,41.0,S,23.0,,Unknown,,,No,15653505
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,,,39.0,S,33.0,,Unknown,,,No,15653505
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,,,-7.0,NS,-10.0,,Unknown,,,No,15653505
Trimethadione,Caenorhabditis elegans,N2,4 mg/ml,,,24.0,S,29.0,,Unknown,,,No,15653505
Ethosuximide,Caenorhabditis elegans,N2,2 mg/ml,,,13.0,S,24.0,,Unknown,,,No,15653505
Ethosuximide,Caenorhabditis elegans,N2,4 mg/ml,,,17.0,S,22.0,,Unknown,,,No,15653505
Ethosuximide,Caenorhabditis elegans,N2,4 mg/ml,,,14.0,S,-2.0,,Unknown,,,No,15653505
Ethosuximide,Caenorhabditis elegans,N2,4 mg/ml,,,35.0,S,37.0,,Unknown,,,No,15653505
"3,3-diethyl-2-pyrrolidinone",Caenorhabditis elegans,N2,2 mg/ml,,,31.0,S,49.0,,Unknown,,,No,15653505
Resveratrol,Caenorhabditis elegans,N2,0.1 mM,,,9.3,S,,,Unknown,,,No,16256736
Resveratrol,Caenorhabditis elegans,N2,1 mM,,,17.8,S,,,Unknown,,,No,16256736
Resveratrol,Caenorhabditis elegans,N2,0.5 mM,,,14.0,S,,,Unknown,,,No,16256736
Dauer-inducing Pheromone,Caenorhabditis elegans,N2,10% in food,,,26.7,,,,Unknown,,,No,16377915
Dauer-inducing Pheromone,Caenorhabditis elegans,N2,5% in food,,,13.3,,,,Unknown,,,No,16377915
Ampicillin,Caenorhabditis elegans,fem-1(hc17),100 Âµg/ml,,,34.0,S,,,Unknown,,,No,16441844
Vaccinium angustifolium extract,Caenorhabditis elegans,fem-1(hc17),1.5 mg/mL,,,37.0,S,,,Unknown,,,No,16441844
Ginkgo biloba extract,Caenorhabditis elegans,N2,100 Âµg/ml,,,8.0,,,,Unknown,,,No,16872777
Tocotrienol,Caenorhabditis elegans,N2,,,,20.0,,,,Unknown,,,No,16872777
Tamarixetin,Caenorhabditis elegans,,,,,28.0,,,,Unknown,,,No,16872777
Epigallocatechin-3-gallate,Caenorhabditis elegans,N2,25 ÂµM,,,4.8,NS,4.8,,Unknown,,,No,17156833
