feature,importance
protein binding,0.02071189413687475
membrane,0.017189918327168572
plasma membrane,0.01688216937694835
BalabanJ,0.016276588312287836
BCUT2D_MWHI,0.015405783807625478
SMR_VSA3,0.01353618368743498
Phi,0.01258053083142582
BCUT2D_CHGLO,0.012199653480410218
Chi0v,0.011112403054149862
ExactMolWt,0.010455974148508447
EState_VSA8,0.010437066347030248
Kappa1,0.01014895289351366
LabuteASA,0.009488286094178604
MinAbsPartialCharge,0.009442772870123734
SPS,0.009327761918053195
Kappa3,0.009303948080249116
MolWt,0.00919160124933038
qed,0.009190601131972871
VSA_EState8,0.009137020358083081
Kappa2,0.009117694156960201
Chi1v,0.009116375268423222
HeavyAtomMolWt,0.009090266525128987
Chi2v,0.008769174905415818
SMR_VSA10,0.008731823088718709
BCUT2D_MRHI,0.008518335917338153
SlogP_VSA5,0.008476880107324967
BCUT2D_LOGPLOW,0.008343656483007457
MaxPartialCharge,0.0082850523563588
BCUT2D_LOGPHI,0.008188809230865573
EState_VSA2,0.008182276453088553
MinEStateIndex,0.008136422290560207
HallKierAlpha,0.008094897281853877
SMR_VSA5,0.008087193394065483
MinPartialCharge,0.008027224650211058
MolMR,0.007994598978174854
Chi2n,0.007986879948625614
MinAbsEStateIndex,0.007971254249831024
TPSA,0.007959842871075004
BCUT2D_MRLOW,0.007750005497425397
FpDensityMorgan1,0.0077158689228329375
Chi0n,0.007675093447173332
MaxAbsEStateIndex,0.0076439729495373365
BCUT2D_MWLOW,0.0076305807668016765
BCUT2D_CHGHI,0.007624982765796928
VSA_EState3,0.007616123261864129
MaxAbsPartialCharge,0.007608774364809237
MaxEStateIndex,0.007489555789485295
MolLogP,0.007358095330330042
VSA_EState6,0.007345882002391734
Chi4v,0.007328122976274099
Chi3v,0.007219733328110494
AvgIpc,0.007186464793652775
VSA_EState7,0.007171308792192057
SMR_VSA6,0.007131099847671691
PEOE_VSA8,0.007124837590623907
fr_NH0,0.007114103795991028
VSA_EState5,0.006979481522716684
SlogP_VSA2,0.0069596877036697665
BertzCT,0.006939776783088325
FractionCSP3,0.006783027602358772
NumValenceElectrons,0.0067527239926329485
Chi1n,0.006748195591150071
SMR_VSA7,0.00670759069763229
VSA_EState2,0.006705563128274975
SMR_VSA1,0.006651731351199033
Chi3n,0.0066455435812231515
NumHeteroatoms,0.006625489794290322
PEOE_VSA9,0.006615988158031468
FpDensityMorgan3,0.006540932260080251
Chi4n,0.0065058365707790665
NumRotatableBonds,0.006372666037711542
FpDensityMorgan2,0.0063676067908209925
VSA_EState4,0.006349251328126448
Ipc,0.006244428970503921
SlogP_VSA10,0.006223531777409133
Chi1,0.006214570488351948
PEOE_VSA7,0.0062014262754451705
EState_VSA5,0.006154588115125574
PEOE_VSA1,0.006144973964976731
Chi0,0.006040781987018844
PEOE_VSA6,0.006010261941459751
SlogP_VSA6,0.0059874838968750135
VSA_EState1,0.005975077835393032
EState_VSA3,0.0059657238405915105
SlogP_VSA1,0.005804264227888509
cytoplasm,0.005625725162275586
SlogP_VSA3,0.0054213865487554806
EState_VSA7,0.00532732304756343
EState_VSA4,0.005215120012725849
PEOE_VSA2,0.005104797856785538
PEOE_VSA10,0.005001533413520948
cytosol,0.004909073348383192
EState_VSA1,0.004811648056815111
EState_VSA6,0.004755442598270131
VSA_EState9,0.004743000577213043
EState_VSA9,0.004648275481370508
SlogP_VSA11,0.004577986682632881
EState_VSA10,0.0044380461728162485
metal ion binding,0.004417385485337216
SMR_VSA9,0.004255547271097753
HeavyAtomCount,0.004227049499384098
PEOE_VSA11,0.004086672866149121
SlogP_VSA4,0.00397298831337615
NOCount,0.003966294590883912
PEOE_VSA14,0.003918799228317097
fr_halogen,0.0038629692320163818
NumHAcceptors,0.003737881776516454
SMR_VSA4,0.0036888441016761663
SlogP_VSA12,0.0036449322606582394
fr_phenol_noOrthoHbond,0.0035829548614855294
PEOE_VSA3,0.0035654282618208686
fr_phenol,0.003536113080574513
fr_NH1,0.0035192219637356524
SlogP_VSA8,0.0034074495230694553
VSA_EState10,0.0032952737052141024
NumHDonors,0.003079536714522931
NumAtomStereoCenters,0.003000699367904273
fr_bicyclic,0.0029652666718761136
fr_Ar_OH,0.0027895298554755942
NHOHCount,0.002731416824980706
NumUnspecifiedAtomStereoCenters,0.002571832032567292
PEOE_VSA5,0.0025699426025095457
PEOE_VSA12,0.002400093671054606
fr_aniline,0.002147673104011933
PEOE_VSA4,0.002123460131588574
RingCount,0.002045409307659392
fr_ether,0.0019942821975470542
NumAmideBonds,0.0019826343021610315
