compound_name,smiles,mol_weight,label
Acivicin,C1[C@H](ON=C1Cl)[C@@H](C(=O)O)N,178.57,1
Diamide,CN(C)C(=O)/N=N/C(=O)N(C)C,172.19,1
Phosphatidylethanolamine,CC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)C,299.21,1
Trimethadione,CC1(C(=O)N(C(=O)O1)C)C,143.14,1
Resveratrol,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,228.24,1
Coenzyme Q10,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,863.3,1
Vitamin E,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,430.7,1
EUK-8,C1=CC=C(C(=C1)C=NCCN=CC2=CC=CC=C2[O-])[O-].[Cl-].[Mn+3],356.68,1
EUK-134,COC1=CC=CC(=C1[O-])C=NCCN=CC2=C(C(=CC=C2)OC)[O-].[Cl-].[Mn+3],416.7,1
Alpha-lipoic acid,C1CSSC1CCCCC(=O)O,206.3,1
Epigallocatechin-3-gallate,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,458.4,1
Tamarixetin,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,316.26,1
Tocotrienol,CC(=CCC/C(=C/CC/C(=C/CCC1(CCC2=C(O1)C=CC(=C2)O)C)/C)/C)C,382.6,1
Ampicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,349.4,1
"3,3-diethyl-2-pyrrolidinone",CCC1(CCNC1=O)CC,141.21,1
Ethosuximide,CCC1(CC(=O)NC1=O)C,141.17,1
Myxothiazol,C[C@@H](/C=C/C=C/C(C)C)C1=NC(=CS1)C2=NC(=CS2)/C=C/[C@@H]([C@@H](C)/C(=C\C(=O)N)/OC)OC,487.7,1
FCCP,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,254.17,1
Hydrogen Sulphide,S,34.08,1
Mianserin,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,264.4,1
Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.23,1
Lithium Chloride,[Li+].[Cl-],42.4,1
2-deoxy-D-glucose,C(C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,164.16,1
Pregnenolone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,316.5,1
