name,found,error,cid,smiles,mol_weight
Floxuridine,True,,5790.0,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O,246.19
EUK-8,True,,171249.0,C1=CC=C(C(=C1)C=NCCN=CC2=CC=CC=C2[O-])[O-].[Cl-].[Mn+3],356.68
Trimethadione,True,,5576.0,CC1(C(=O)N(C(=O)O1)C)C,143.14
4-dafachronic acid,False,HTTP 404,,,
Glucose,True,,5793.0,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,180.16
Gliotoxin,True,,6223.0,CN1C(=O)[C@]23CC4=CC=C[C@@H]([C@H]4N2C(=O)[C@]1(SS3)CO)O,326.4
Sorbitol,True,,5780.0,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,182.17
Glycerol,True,,753.0,C(C(CO)O)O,92.09
Plumbagin,True,,10205.0,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,188.18
Ellagic acid,True,,5281855.0,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,302.19
Tannic acid,True,,16129778.0,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,1701.2
Ferric ammonium citrate,True,,118984355.0,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.N.[Fe+3],265.0
Quercetin,True,,5280343.0,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.23
Quinic acid,True,,6508.0,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O,192.17
Fish oil,False,HTTP 404,,,
Wortmannin,True,,312145.0,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,428.4
Resveratrol,True,,445154.0,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,228.24
Caffeine,True,,2519.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.19
Metformin,True,,4091.0,CN(C)C(=N)N=C(N)N,129.16
Valine,True,,6287.0,CC(C)[C@@H](C(=O)O)N,117.15
Threonine,True,,6288.0,C[C@H]([C@@H](C(=O)O)N)O,119.12
Taurine,True,,1123.0,C(CS(=O)(=O)O)N,125.15
Putrescine,True,,1045.0,C(CCN)CN,88.15
Ornithine,True,,6262.0,C(C[C@@H](C(=O)O)N)CN,132.16
L-theanine,True,,439378.0,CCNC(=O)CC[C@@H](C(=O)O)N,174.2
Glycine,True,,750.0,C(C(=O)O)N,75.07
Glutamine,True,,5961.0,C(CC(=O)N)[C@@H](C(=O)O)N,146.14
Glutamate,True,,33032.0,C(CC(=O)O)[C@@H](C(=O)O)N,147.13
DL-isocitrate,False,HTTP 404,,,
D-glutamate,True,,23327.0,C(CC(=O)O)[C@H](C(=O)O)N,147.13
Caprylate,True,,119389.0,CCCCCCCC(=O)[O-],143.2
Asparagine,True,,6267.0,C([C@@H](C(=O)O)N)C(=O)N,132.12
Agmatine,True,,199.0,C(CCN=C(N)N)CN,130.19
Pyruvate,True,,107735.0,CC(=O)C(=O)[O-],87.05
Nitrophenyl piperazine containing compound 1,False,HTTP 404,,,
Fructose,True,,2723872.0,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,180.16
Diethyl Maleate,True,,5271566.0,CCOC(=O)/C=C\C(=O)OCC,172.18
Colanic acid,True,,9548797.0,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4[C@@]3(CCCC4)C)C,360.6
Epigallocatechin-3-gallate,True,,65064.0,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,458.4
N6-benzyladenine,True,,62389.0,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,225.25
Luteolin,True,,5280445.0,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.24
Beta-santalol,True,,6857681.0,C/C(=C/CC[C@@]1([C@H]2CC[C@H](C2)C1=C)C)/CO,220.35
Argyreia boseana extract,False,HTTP 404,,,
Anisomycin,True,,253602.0,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,265.3
Thymine,True,,1135.0,CC1=CNC(=O)NC1=O,126.11
Uric acid,True,,1175.0,C12=C(NC(=O)N1)NC(=O)NC2=O,168.11
Mifepristone,True,,55245.0,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,429.6
Arecoline,True,,2230.0,CN1CCC=C(C1)C(=O)OC,155.19
Inositol,True,,892.0,C1(C(C(C(C(C1O)O)O)O)O)O,180.16
Berberine,True,,2353.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,336.4
D-xylitol,True,,6912.0,C([C@H](C([C@H](CO)O)O)O)O,152.15
SR27897,True,,122077.0,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl,411.9
NSC666076,True,,54676228.0,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,331.3
Nordihydroguaiaretic acid,True,,4534.0,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,302.4
Ononetin,True,,259632.0,COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O,258.27
3-Morpholinosydnonimine hydrochloride,True,,197942.0,C1COCCN1[N+]2=NOC(=C2)N.[Cl-],206.63
Alln,True,,6915732.0,C([C@@H]1[C@H]([C@H]([C@H](C(O1)O)N)O)O)O,179.17
Curcumin,True,,969516.0,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.4
Alln II,False,HTTP 404,,,
Lorglumide Sodium,True,,23681233.0,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+],481.4
Tetramethylpyrazine,True,,14296.0,CC1=C(N=C(C(=N1)C)C)C,136.19
Phenoxybenzamine Hydrochloride,True,,5284441.0,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl,340.3
Itraconazole,True,,55283.0,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,705.6
Eserine,True,,5983.0,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,275.35
Amikacin hydrate,True,,16218899.0,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N.O,603.6
Vincristine sulfate,True,,249332.0,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,923.0
NSC170984 (Pimozide),False,HTTP 404,,,
Podofilox,True,,10607.0,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,414.4
Rotenone,True,,6758.0,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,394.4
Promazine Hydrochloride,True,,5887.0,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,320.9
I-BET,False,HTTP 404,,,
Thiostrepton,True,,16129666.0,CCC(C)C1C(=O)NC(C(=O)NC(=C)C(=O)NC(C(=O)NC23CCC(=NC2C4=CSC(=N4)C(C(OC(=O)C5=NC6=C(C=CC(C6O)N1)C(=C5)C(C)O)C)NC(=O)C7=CSC(=N7)C(NC(=O)C8CSC(=N8)/C(=C\C)/NC(=O)C(NC(=O)C9=CSC3=N9)C(C)O)C(C)(C(C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C,1664.9
Viramune,True,,4463.0,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,266.3
Nafadotride,True,,3408722.0,CCCCN1CCCC1CNC(=O)C2=C(C3=CC=CC=C3C(=C2)C#N)OC,365.5
Kanamycin A sulfate,True,,441374.0,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N.OS(=O)(=O)O,582.6
JS-K,True,,9572720.0,CCOC(=O)N1CCN(CC1)/[N+](=N/OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])/[O-],384.3
Levosulpiride,True,,688272.0,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,341.4
Dofetilide,True,,71329.0,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,441.6
Amlexanox,True,,2161.0,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,298.29
Genistein,True,,5280961.0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,270.24
