name,found,error,cid,smiles,mol_weight
2-Selenium-bridged-beta-cyclodextrin,False,HTTP 404,,,
Dauer-inducing Pheromone,False,HTTP 404,,,
Vaccinium angustifolium extract,False,HTTP 404,,,
Ginkgo biloba extract,False,HTTP 404,,,
4-dafachronic acid,False,HTTP 404,,,
Platinum nanoparticles,False,HTTP 404,,,
Rhodiola rosea extract,False,HTTP 404,,,
Eleutherococcus senticosus extract,False,HTTP 404,,,
Reishi extract,False,HTTP 404,,,
SQDB,False,HTTP 404,,,
Phaseolus vulgaris extract,False,HTTP 404,,,
DhHP-6,False,HTTP 404,,,
Apple extract,False,HTTP 404,,,
Electrolyzed reduced water,False,HTTP 404,,,
Q3'G,False,HTTP 404,,,
Royal Jelly,False,HTTP 404,,,
Astragalus extract,False,HTTP 404,,,
Damnacanthus officinarum root extract,False,HTTP 404,,,
Damnacanthus officinarum leaf extract,False,HTTP 404,,,
Proanthocycanidin,False,HTTP 404,,,
HuminFeed,False,HTTP 404,,,
HF-HQ,False,HTTP 404,,,
Cranberry extract,False,HTTP 404,,,
4-hydroxy-E-globularinin,False,HTTP 404,,,
Omega-6,False,HTTP 404,,,
Platycladus orientalis extract,False,HTTP 404,,,
Fish oil,False,HTTP 404,,,
Phosphatidylinositol ether lipid analogue 24 ,False,HTTP 404,,,
Phosphatidylinositol ether lipid analogue 6,False,HTTP 404,,,
Polydatin,False,HTTP 404,,,
Korean mistletoe extract,False,HTTP 404,,,
Shi Quan Da Bu Wan,False,HTTP 404,,,
Shengmai Yin,False,HTTP 404,,,
Liuwei Dihuang Wan,False,HTTP 404,,,
Erchen wan,False,HTTP 404,,,
Huan Shao Dan,False,HTTP 404,,,
Mulberry extract,False,HTTP 404,,,
Acanthopanax sessiliflorus extract,False,HTTP 404,,,
G109,False,HTTP 404,,,
Royalactin,False,HTTP 404,,,
DL-isocitrate,False,HTTP 404,,,
Garlic extract,False,HTTP 404,,,
Soybean trypsin inhibitor,False,HTTP 404,,,
Buckwheat trypsin inhibitor,False,HTTP 404,,,
(Iso)lappaol A,False,HTTP 404,,,
Panax notoginseng extract,False,HTTP 404,,,
Acacetin 7-O-alpha-l-rhamnopyranosyl (1_2) beta-D-xylopyranoside,False,HTTP 404,,,
Glycyrrhizae radix extract,False,HTTP 404,,,
Hon Tsai Tai extract,False,HTTP 404,,,
4âmethylâ2âoxovalerate,False,HTTP 404,,,
Alphaâketoâbetaâmethylvalerate,False,HTTP 404,,,
Alphaâketoisovalerate,False,HTTP 404,,,
18Î±-Glycyrrhetinic acid,False,HTTP 404,,,
Nitrophenyl piperazine containing compound 1,False,HTTP 404,,,
Sesame extract,False,HTTP 404,,,
Ribes fasciculatum extract,False,HTTP 404,,,
Blueberry extract,False,HTTP 404,,,
Ursolic  acid,False,HTTP 404,,,
Polyherbal phytomedicine,False,HTTP 404,,,
"trans-2,40,5-trihydroxystilbene",False,HTTP 404,,,
"trans-3,5-dimethoxy-4-fluoro-4'-hydroxystilbene",False,HTTP 404,,,
Isosilybin A/B,False,HTTP 400,,,
Silybin A/B,False,HTTP 400,,,
Silychristin A/B,False,HTTP 400,,,
Butylated hydroxyanisole,False,HTTP 404,,,
Buthus martensii Karsch Polypeptide Toxin ,False,HTTP 404,,,
Chlorophytum borivilianum  extract,False,HTTP 404,,,
Alphaâlinolenic acid,False,HTTP 404,,,
phenylethanoid glycosides,False,HTTP 404,,,
"1,2,3-Triazolyl ester of ketorolac ",False,HTTP 404,,,
Mussel extract,False,HTTP 404,,,
DNIC-1a,False,HTTP 404,,,
Holothuria scabra extract,False,HTTP 404,,,
Guarana extract,False,HTTP 404,,,
Damaurone D,False,HTTP 404,,,
Polygonum multiflorum extract,False,HTTP 404,,,
"1,3-dimemethyl Xan",False,HTTP 404,,,
Lonicera japonica extract,False,HTTP 404,,,
Sandalwood oil,False,HTTP 404,,,
Argyreia boseana extract,False,HTTP 404,,,
Ganoderma lucidum extract,False,HTTP 404,,,
Agrimonia procera extract,False,HTTP 404,,,
"4,4â²-dimethoxychalcone",False,HTTP 404,,,
KT135,False,HTTP 404,,,
ABC52,False,HTTP 404,,,
JJH322,False,HTTP 404,,,
KT167,False,HTTP 404,,,
ABC23,False,HTTP 404,,,
MJN200,False,HTTP 404,,,
ABC101,False,HTTP 404,,,
ABC35,False,HTTP 404,,,
JW1039,False,HTTP 404,,,
KT170,False,HTTP 404,,,
ABC5,False,HTTP 404,,,
ABC92,False,HTTP 404,,,
ABC53,False,HTTP 404,,,
JT271-3,False,HTTP 404,,,
KT120,False,HTTP 404,,,
ABC30,False,HTTP 404,,,
ABC26,False,HTTP 404,,,
KT140,False,HTTP 404,,,
ABC63,False,HTTP 404,,,
ABC28,False,HTTP 404,,,
Phosphatidylcholine,False,HTTP 404,,,
Betula utilis extract,False,HTTP 404,,,
O13,False,HTTP 404,,,
Gr-4D,False,HTTP 404,,,
Coix seed oil,False,HTTP 404,,,
Raspberry extract,False,HTTP 404,,,
FW1251,False,HTTP 404,,,
"5â²-Hydroxy-6, 7, 8, 3â², 4â²-pentamethoxyflavone",False,HTTP 404,,,
"Mebhydroline 1,5-napthalenedisulfonate",False,HTTP 404,,,
Flunarizine hydrochloride II,False,HTTP 404,,,
Formonoetin,False,HTTP 404,,,
3-Methoxycatechol II,False,HTTP 404,,,
Dihydrorotenon,False,HTTP 404,,,
4'-Demethylpipodophyllotoxin,False,HTTP 404,,,
Tryptophen,False,HTTP 404,,,
Geri-BP002A,False,HTTP 404,,,
I-BET,False,HTTP 404,,,
4112-3315,False,HTTP 404,,,
Alln II,False,HTTP 404,,,
SKF95282 dimaleate,False,HTTP 404,,,
NSC170984 (Pimozide),False,HTTP 404,,,
6526-0645,False,HTTP 404,,,
"5,7,4Trimethoxyfavone",False,HTTP 404,,,
