target_id,go_id,go_name,go_aspect
CHEMBL2362995,GO:0005886,plasma membrane,GoComponent
CHEMBL2362995,GO:0005891,voltage-gated calcium channel complex,GoComponent
CHEMBL2362995,GO:0016020,membrane,GoComponent
CHEMBL2362995,GO:0034702,monoatomic ion channel complex,GoComponent
CHEMBL2362995,GO:0005244,voltage-gated monoatomic ion channel activity,GoFunction
CHEMBL2362995,GO:0005245,voltage-gated calcium channel activity,GoFunction
CHEMBL2362995,GO:0005261,monoatomic cation channel activity,GoFunction
CHEMBL2362995,GO:0005262,calcium channel activity,GoFunction
CHEMBL2362995,GO:0005515,protein binding,GoFunction
CHEMBL2362995,GO:0008331,high voltage-gated calcium channel activity,GoFunction
CHEMBL2362995,GO:0008332,low voltage-gated calcium channel activity,GoFunction
CHEMBL2362995,GO:0046872,metal ion binding,GoFunction
CHEMBL2362995,GO:0046873,metal ion transmembrane transporter activity,GoFunction
CHEMBL2362995,GO:0097110,scaffold protein binding,GoFunction
CHEMBL2362995,GO:0007517,muscle organ development,GoProcess
CHEMBL2362995,GO:0007520,myoblast fusion,GoProcess
CHEMBL2362995,GO:0008016,regulation of heart contraction,GoProcess
CHEMBL2362995,GO:0032342,aldosterone biosynthetic process,GoProcess
CHEMBL2362995,GO:0032870,cellular response to hormone stimulus,GoProcess
CHEMBL2362995,GO:0034651,cortisol biosynthetic process,GoProcess
CHEMBL2362995,GO:0035865,cellular response to potassium ion,GoProcess
CHEMBL2362995,GO:0042391,regulation of membrane potential,GoProcess
CHEMBL2362995,GO:0070509,calcium ion import,GoProcess
CHEMBL2362995,GO:0070588,calcium ion transmembrane transport,GoProcess
CHEMBL2362995,GO:0098662,inorganic cation transmembrane transport,GoProcess
CHEMBL2362995,GO:0098703,calcium ion import across plasma membrane,GoProcess
CHEMBL2362995,GO:2000344,positive regulation of acrosome reaction,GoProcess
CHEMBL2362995,GO:0005737,cytoplasm,GoComponent
CHEMBL2362995,GO:0005886,plasma membrane,GoComponent
CHEMBL2362995,GO:0005891,voltage-gated calcium channel complex,GoComponent
CHEMBL2362995,GO:0016020,membrane,GoComponent
CHEMBL2362995,GO:0034702,monoatomic ion channel complex,GoComponent
CHEMBL2362995,GO:0045202,synapse,GoComponent
CHEMBL2362995,GO:0005245,voltage-gated calcium channel activity,GoFunction
CHEMBL2362995,GO:0005261,monoatomic cation channel activity,GoFunction
CHEMBL2362995,GO:0005262,calcium channel activity,GoFunction
CHEMBL2362995,GO:0008331,high voltage-gated calcium channel activity,GoFunction
CHEMBL2362995,GO:0008332,low voltage-gated calcium channel activity,GoFunction
CHEMBL2362995,GO:0046873,metal ion transmembrane transporter activity,GoFunction
