feature_set,classifier,roc_auc_mean,roc_auc_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
GO-only,RandomForest,0.5818568814503774,0.06168768122273079,0.5464134329987989,0.05272090382737286,0.6394817275747509,0.05204600751598607
GO-only,XGBoost,0.5956018311709368,0.058623872601039725,0.536979957711665,0.08435197821933901,0.5855665943490928,0.05984164704159569
GO-only,LogisticRegression,0.5859735416645987,0.03603578420302069,0.5510477778770462,0.045513170355924754,0.5848630022543067,0.036972160763182056
GO-only,SVM,0.5979520930740443,0.0476431120208688,0.5502074709391782,0.037205779828753574,0.6003885169755352,0.03602809911036294
SMILES-only,RandomForest,0.5961410545977598,0.03362524308793051,0.5522888939894143,0.02773246640559879,0.6079327396417722,0.025124186926587667
SMILES-only,XGBoost,0.6068369119542154,0.031411148124411516,0.5877788049234464,0.031896409630377966,0.6059732173296425,0.03906843542956797
SMILES-only,LogisticRegression,0.5663567892177397,0.033609905271354726,0.5370166186380236,0.029657505285237324,0.5874072509927121,0.0308883396942322
SMILES-only,SVM,0.6088049627563864,0.025483755994958814,0.5608992222246473,0.013257824646826066,0.6349072365773336,0.020602800309117788
Combined (GO+SMILES),RandomForest,0.5409148078660273,0.01658236540222769,0.5310200819956917,0.04115225116623056,0.6271364046973803,0.032732301213044754
Combined (GO+SMILES),XGBoost,0.570766972413314,0.028513520364406048,0.5350967618650546,0.03771910283571477,0.6065174299384826,0.028983027051687475
Combined (GO+SMILES),LogisticRegression,0.591886248349663,0.05262975623688479,0.5565742477937599,0.04007649930132406,0.6240823262609035,0.039776582872229745
Combined (GO+SMILES),SVM,0.6015805017024529,0.023296981051463137,0.5556825446459592,0.043290748672004074,0.603888113808806,0.03640570617766089
